,link,title,year,synopsis
0,/wiki/100_Days_My_Prince,100 Days My Prince,2018,"Lee Yul is the king's nephew who enjoys spending his days playing instead of studying. He enjoys playing with the peasant children alongside his best friend and guardian, Dong-joo. One day, as he is playing with the peasant children where they play the villains, Yul uses his status to punish the children by beating them up, oblivious that his actions are hurting them. The children could not object to this treatment due to Yul's status. A girl, Yoon Yi-seo intervenes and chides Yul for his cruel actions. Like Yul, Yi-seo is from a noble family, but is kind, smart and compassionate. Yul instantly develops a crush on Yi-seo, and this causes him to change to become more studious in order to impress her. Yi-seo's father is a general and the right-hand man of the king.
"
1,/wiki/12_Signs_of_Love,12 Signs of Love,2012,
2,/wiki/12_Years_Promise,12 Years Promise,2014,"In 2002, on the night of Korea's momentous World Cup win, high school sweethearts Jang Guk (Lee So-yeon) and Yu Jun-su (Namkoong Min) sleep together and Jang Guk ends up pregnant. They are given permission to marry by Jun-su's father, but after a horrible accident, Jang Guk loses the baby. Their mothers who were against the relationship from the beginning, take advantage of the situation and split them up. Jang Guk then leaves Korea to live in the U.S. and changes her name to Jang Dal-rae. Twelve years later, they reunite and get entangled in each other's lives again. The only problem is that Yu Jun-su doesn't know it's her and Jang Guk doesn't want him to know.
"
3,/wiki/18_Again,18 Again,2020,"Jung Da-jung (Kim Ha-neul) and Hong Dae-young (Yoon Sang-hyun) are married and have a set of fraternal twins, Hong Shi-ah (Roh Jeong-eui) and Hong Shi-woo (Ryeoun [). At first, they have a perfect happy marriage despite having children at a very young age and having financial problems. Years later, their happy marriage starts crumbling when 37-year-old Da-jung files for divorce and their 18-year-old twins start ignoring Dae-young, except for pocket money. Furthermore, Dae-young's life turns more miserable when he loses his job, after his boss promotes his nephew who has worked in the company for only 4 years, while relocating Dae-young to Busan.
"
4,/wiki/365:_Repeat_the_Year,365: Repeat the Year,2020,"Ten people are given the possibility to go back in time, but mysterious events start to happen.
"
5,/wiki/4_Legendary_Witches,4 Legendary Witches,2014–2015,"Orphan Moon Soo-in marries Ma Do-hyun, the eldest son of the chaebol family who owns bakery corporation Shinhwa Group. But when Do-hyun dies unexpectedly, the Ma family makes Soo-in take the fall for their illegal business practices and she ends up in jail for stock manipulation that she didn't commit. At Cheongju's Penitentiary for Women, her cellmates are kind-hearted and consists of Shim Bok-nyeo who was falsely accused of killing her husband and son; tough-as-nails, foul-mouthed Son Poong-geum who was convicted of fraud, and former model Seo Mi-oh who's been charged with the attempted murder of her boyfriend, Shinhwa Group's youngest son.
"
6,/wiki/49_Days,49 Days,2011,"Gullible yet cheerful Shin Ji-hyun (Nam Gyu-ri) is living a perfect life: she is the only daughter of wealthy, doting parents and is surrounded by supportive best friends. She is also engaged to be married to the perfect man, Kang Min-ho (Bae Soo-bin), in just a few weeks.  Meanwhile, Song Yi-kyung (Lee Yo-won) is in an existential crisis following her boyfriend's tragic death. She works third shift at a convenience store, sleeps in the afternoon, and often spends what little time she has left in the day contemplating suicide.
"
7,/wiki/5th_Republic_(TV_series),5th Republic (TV series),2005,
8,/wiki/7_First_Kisses,7 First Kisses,2016–2017,"Min Soo-jin (Lee Cho-hee) is a Lotte Duty Free store employee who has never been in a relationship before. One day, she meets the goddess of date (Choi Ji-woo) who grants her an attempt to pick the perfect partner for her first kiss among seven men. Her options were a religious tech billionaire (Lee Joon-gi), a serious yet romantic boss (Park Hae-jin), a sexy secret agent (Ji Chang-wook), an adorable younger male friend (Kai), an innocent chaebol heir (Ok Taec-yeon), a beloved K-pop idol (Lee Jong-suk) and, finally, a free-spirited travel writer (Lee Min-ho).
"
9,/wiki/7th_Grade_Civil_Servant,7th Grade Civil Servant,2013,"Love and espionage collide in this drama of the National Intelligence Service's rookie agents. Han Gil-ro (Joo Won) realizes his dream of becoming an international man of mystery, after a childhood spent poring over James Bond films. Kim Seo-won (Choi Kang-hee) spices things up as a goofy, yet determined agent, but it's not all 007 glamor. Both Gil-ro and Seo-won must learn what it takes to uphold their sworn duty, even at the sacrifice of their happiness — and lives.
"
